Accessible data table begins in Cell A5. Item descriptions are contained within input messages in Cell G5 through Cell AI5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"General Relief and Interim Assistance to Applicants for SSI/SSP
Monthly Caseload and Expenditure Report
(GR 237)",,,,,,,PART A.  CASELOAD (GENERAL RELIEF AND INTERIM ASSISTANCE),,,,,,PART B.  CASELOAD AND EXPENDITURES,,,,,,,,,,,PART C.  SSI/SSP INTERIM ASSISTANCE,,,,,,,,,,,PART E. NET GENERAL RELIEF EXPENDITURES,
,,,,,,,Adjustment,"1. Cases
brought
forward","2. Cases 
added
during 
month",3. Total cases available during month,4. Cases discontinued during month,5. Cases carried forward to next month,6. Total cases,a. Family cases,b. One-person cases,6. Total cases,a. Family cases,b. One-person cases,6. Total GR,(1) Amount in cash,(2) Amount in kind,a. Family cases,b. One-person cases,7. Cases added during month,8. Total SSA checks disposed of during month,8a. Disposed within 1-10 working days,9. SSA sent SSI/SSP check directly to recipient,10. Denial notice received,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,,
,,,,,,,,,,,,,"CASES
A",,,"PERSONS
B",,,"AMOUNT
C",,,,,,,,,,"CASES
A",,,"AMOUNT
C",,,"Net General Relief
Expenditure (Column C 
Items 6 - Item 11)",
Date,Month,Year,County Name,County Code,SFY,FFY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,
Jul15,7,2015,Statewide,00,2015-16,2015,4522,117671,19128,136799,23331,113468,142193,990,141203,143161,1958,141203,33779319,31589103,2190216,450846,33328473,864,992,988,*,2189,1030,931,99,2457910,2422931,34979,31321409,
Jul15,7,2015,Alameda,01,2015-16,2015,0,9911,1151,11062,952,10110,8325,191,8134,8514,380,8134,2953423,2953423,0,101417,2852006,15,83,83,0,244,83,83,0,403021,403021,0,2550402,
Jul15,7,2015,Alpine,02,2015-16,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jul15,7,2015,Amador,03,2015-16,2015,0,11,*,14,*,*,*,0,*,*,0,*,3431,3431,0,0,3431,*,*,*,0,0,*,*,0,3872,3847,25,-441,
Jul15,7,2015,Butte,04,2015-16,2015,0,455,59,514,64,450,524,0,524,524,0,524,160845,160845,0,0,160845,28,*,*,0,0,*,*,*,24247,21718,2529,136598,
Jul15,7,2015,Calaveras,05,2015-16,2015,0,42,*,44,*,36,36,0,36,36,0,36,8892,8817,75,0,8892,*,0,0,0,0,0,0,0,70,0,70,8822,
Jul15,7,2015,Colusa,06,2015-16,2015,0,*,*,11,0,11,*,*,*,*,*,*,1113,668,445,147,966,0,0,0,0,0,0,0,0,40,0,40,1073,
Jul15,7,2015,Contra Costa,07,2015-16,2015,-31,1011,335,1346,312,1034,1363,0,1363,1363,0,1363,250771,198136,52635,0,250771,*,14,14,0,116,14,14,0,28896,28896,0,221875,
Jul15,7,2015,Del Norte,08,2015-16,2015,0,*,*,11,*,*,*,0,*,*,0,*,1628,0,1628,0,1628,0,0,0,0,0,0,0,0,0,0,0,1628,
Jul15,7,2015,El Dorado,09,2015-16,2015,0,77,*,87,*,83,83,0,83,83,0,83,8398,6336,2062,0,8398,0,0,0,*,0,*,*,0,7727,7350,377,671,
Jul15,7,2015,Fresno,10,2015-16,2015,-48,2541,636,3177,580,2597,3392,*,3384,3405,21,3384,758197,758197,0,3827,754370,129,26,26,0,109,32,26,*,64940,63205,1735,693257,
Jul15,7,2015,Glenn,11,2015-16,2015,0,12,*,22,*,19,24,0,24,24,0,24,5615,5583,32,0,5615,0,0,0,0,0,0,0,0,0,0,0,5615,
Jul15,7,2015,Humboldt,12,2015-16,2015,0,203,68,271,49,222,271,0,271,271,0,271,86070,85020,1050,0,86070,18,*,*,0,*,*,*,*,4385,92,4293,81685,
Jul15,7,2015,Imperial,13,2015-16,2015,0,46,11,57,14,43,53,0,53,53,0,53,8703,2381,6322,0,8703,0,0,0,0,0,0,0,0,0,0,0,8703,
Jul15,7,2015,Inyo,14,2015-16,2015,0,27,11,38,11,27,38,0,38,38,0,38,12067,12067,0,0,12067,*,0,0,0,0,0,0,0,0,0,0,12067,
Jul15,7,2015,Kern,15,2015-16,2015,0,448,116,564,105,459,388,0,388,388,0,388,112302,112302,0,0,112302,116,*,*,0,19,*,*,*,7593,7441,152,104709,
Jul15,7,2015,Kings,16,2015-16,2015,0,*,*,*,0,*,*,0,*,*,0,*,1334,0,1334,0,1334,0,0,0,0,0,0,0,0,35,0,35,1299,
Jul15,7,2015,Lake,17,2015-16,2015,0,11,*,12,*,11,11,0,11,11,0,11,3098,3098,0,0,3098,0,0,0,0,0,0,0,0,0,0,0,3098,
Jul15,7,2015,Lassen,18,2015-16,2015,0,43,21,64,16,48,51,*,48,51,*,48,18448,18448,0,1035,17413,*,0,0,0,*,*,*,0,13679,12848,831,4769,
Jul15,7,2015,Los Angeles,19,2015-16,2015,4817,75396,9080,84476,14093,70383,94040,548,93492,94566,1074,93492,20516385,19856155,660230,205066,20311319,150,514,514,0,1072,514,514,0,1044360,1044360,0,19472025,
Jul15,7,2015,Madera,20,2015-16,2015,0,189,15,204,27,177,150,*,146,154,*,146,36551,36551,0,2505,34046,0,0,0,0,0,*,*,0,1778,1778,0,34773,
Jul15,7,2015,Marin,21,2015-16,2015,121,656,115,771,101,670,769,0,769,769,0,769,218034,218034,0,0,218034,*,*,*,0,23,*,*,0,3666,3081,585,214368,
Jul15,7,2015,Mariposa,22,2015-16,2015,0,0,26,26,26,0,26,0,26,26,0,26,4690,4690,0,0,4690,0,0,0,0,0,0,0,0,0,0,0,4690,
