Accessible data table begins in Cell A5. Item descriptions are contained within input messages in Cell G5 through Cell AI5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"General Relief and Interim Assistance to Applicants for SSI/SSP
Monthly Caseload and Expenditure Report
(GR 237)",,,,,,,PART A.  CASELOAD (GENERAL RELIEF AND INTERIM ASSISTANCE),,,,,,PART B.  CASELOAD AND EXPENDITURES,,,,,,,,,,,PART C.  SSI/SSP INTERIM ASSISTANCE,,,,,,,,,,,PART E. NET GENERAL RELIEF EXPENDITURES,
,,,,,,,Adjustment,"1. Cases
brought
forward","2. Cases 
added
during 
month",3. Total cases available during month,4. Cases discontinued during month,5. Cases carried forward to next month,6. Total cases,a. Family cases,b. One-person cases,6. Total cases,a. Family cases,b. One-person cases,6. Total GR,(1) Amount in cash,(2) Amount in kind,a. Family cases,b. One-person cases,7. Cases added during month,8. Total SSA checks disposed of during month,8a. Disposed within 1-10 working days,9. SSA sent SSI/SSP check directly to recipient,10. Denial notice received,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,,
,,,,,,,,,,,,,"CASES
A",,,"PERSONS
B",,,"AMOUNT
C",,,,,,,,,,"CASES
A",,,"AMOUNT
C",,,"Net General Relief
Expenditure (Column C 
Items 6 - Item 11)",
Date,Month,Year,County Name,County Code,SFY,FFY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,
Jul19,7,2019,Statewide,00,2019-20,2019,3407,104725,25607,130332,26708,103624,131541,2452,129089,134214,5125,129089,30751601,30071411,680190,673002,30078599,5427,860,856,*,1451,3073,2603,470,*,2828329,40979,27882293,
Jul19,7,2019,Alameda,01,2019-20,2019,-3,7899,1226,9125,1130,7995,9113,125,8988,9238,250,8988,3150928,3150928,0,68903,3082025,*,55,55,0,200,55,55,0,340765,340765,0,2810163,
Jul19,7,2019,Alpine,02,2019-20,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jul19,7,2019,Amador,03,2019-20,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jul19,7,2019,Butte,04,2019-20,2019,0,264,74,338,59,279,338,0,338,338,0,338,129640,129640,0,0,129640,*,*,*,0,0,*,*,*,29303,23092,6211,100337,
Jul19,7,2019,Calaveras,05,2019-20,2019,0,*,*,11,*,*,*,0,*,*,0,*,1612,1612,0,0,1612,*,0,0,0,0,0,0,0,355,0,355,1257,
Jul19,7,2019,Colusa,06,2019-20,2019,0,13,0,13,0,13,*,0,*,*,0,*,520,520,0,0,520,0,0,0,0,0,0,0,0,65,0,65,455,
Jul19,7,2019,Contra Costa,07,2019-20,2019,-5,587,234,821,185,636,839,0,839,839,0,839,188943,176626,12317,0,188943,*,14,14,0,81,14,14,0,26144,26144,0,162799,
Jul19,7,2019,Del Norte,08,2019-20,2019,0,31,*,34,0,34,34,0,34,34,0,34,10255,10255,0,0,10255,0,0,0,0,0,*,*,0,1062,1062,0,9193,
Jul19,7,2019,El Dorado,09,2019-20,2019,0,38,38,76,29,47,86,0,86,86,0,86,8961,7954,1007,0,8961,0,0,0,0,0,11,*,*,6233,5978,255,2728,
Jul19,7,2019,Fresno,10,2019-20,2019,*,2388,407,2795,357,2438,2831,16,2815,2847,32,2815,616991,616991,0,5914,611077,103,43,43,0,109,43,43,0,163067,163067,0,453924,
Jul19,7,2019,Glenn,11,2019-20,2019,0,19,*,25,*,21,25,0,25,25,0,25,12399,12399,0,0,12399,0,0,0,0,0,1782,1782,0,1782,1782,0,10617,
Jul19,7,2019,Humboldt,12,2019-20,2019,0,149,73,222,84,138,222,0,222,222,0,222,49773,48668,1105,0,49773,12,*,*,0,*,*,0,*,36983,26644,10339,12790,
Jul19,7,2019,Imperial,13,2019-20,2019,0,100,13,113,19,94,106,0,106,106,0,106,22357,5297,17060,0,22357,0,0,0,0,0,0,0,0,0,0,0,22357,
Jul19,7,2019,Inyo,14,2019-20,2019,0,28,*,31,*,22,31,0,31,31,0,31,9360,9360,0,0,9360,0,0,0,0,0,0,0,0,0,0,0,9360,
Jul19,7,2019,Kern,15,2019-20,2019,1466,1530,310,1840,322,1518,1456,*,1452,1460,*,1452,419662,419662,0,1831,417831,69,*,*,0,*,*,*,0,27049,27048,*,392613,
Jul19,7,2019,Kings,16,2019-20,2019,0,43,25,68,31,37,37,0,37,37,0,37,13534,0,13534,0,13534,*,0,0,0,0,0,0,0,435,0,435,13099,
Jul19,7,2019,Lake,17,2019-20,2019,0,*,0,*,0,*,*,0,*,*,0,*,0,0,0,0,0,0,0,0,0,0,*,0,*,*,0,*,-10,
Jul19,7,2019,Lassen,18,2019-20,2019,0,57,*,64,11,53,53,0,53,53,0,53,17111,17111,0,0,17111,*,0,0,0,0,0,0,0,0,0,0,17111,
Jul19,7,2019,Los Angeles,19,2019-20,2019,2041,66530,15994,82524,17721,64803,86517,2154,84363,88892,4529,84363,17710942,17621702,89240,499857,17211085,4878,433,433,0,576,433,433,0,1273563,1273563,0,16437379,
Jul19,7,2019,Madera,20,2019-20,2019,0,71,*,77,*,75,75,0,75,75,0,75,18602,18602,0,0,18602,0,0,0,0,0,*,*,0,3665,3665,0,14937,
Jul19,7,2019,Marin,21,2019-20,2019,0,515,107,622,102,520,598,0,598,598,0,598,218653,218653,0,0,218653,*,*,0,0,*,20,*,17,20919,20197,722,197734,
Jul19,7,2019,Mariposa,22,2019-20,2019,0,0,35,35,35,0,35,0,35,35,0,35,8907,8907,0,0,8907,0,0,0,0,0,0,0,0,0,0,0,8907,
