Accessible data table begins in Cell A5. Item descriptions are contained within input messages in Cell G5 through Cell AI5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"General Relief and Interim Assistance to Applicants for SSI/SSP
Monthly Caseload and Expenditure Report
(GR 237)",,,,,,,PART A.  CASELOAD (GENERAL RELIEF AND INTERIM ASSISTANCE),,,,,,PART B.  CASELOAD AND EXPENDITURES,,,,,,,,,,,PART C.  SSI/SSP INTERIM ASSISTANCE,,,,,,,,,,,PART E. NET GENERAL RELIEF EXPENDITURES,
,,,,,,,Adjustment,"1. Cases
brought
forward","2. Cases 
added
during 
month",3. Total cases available during month,4. Cases discontinued during month,5. Cases carried forward to next month,6. Total cases,a. Family cases,b. One-person cases,6. Total cases,a. Family cases,b. One-person cases,6. Total GR,(1) Amount in cash,(2) Amount in kind,a. Family cases,b. One-person cases,7. Cases added during month,8. Total SSA checks disposed of during month,8a. Disposed within 1-10 working days,9. SSA sent SSI/SSP check directly to recipient,10. Denial notice received,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,,
,,,,,,,,,,,,,"CASES
A",,,"PERSONS
B",,,"AMOUNT
C",,,,,,,,,,"CASES
A",,,"AMOUNT
C",,,"Net General Relief
Expenditure (Column C 
Items 6 - Item 11)",
Jul17,7,2017,Mono,26,2017-18,2017,-56,*,0,*,0,*,*,0,*,*,0,*,766,766,0,0,766,0,0,0,0,0,0,0,0,0,0,0,766,
Jul17,7,2017,Monterey,27,2017-18,2017,-3999,321,51,372,62,310,374,*,372,374,*,372,67717,67717,0,216,67501,*,*,*,0,*,*,*,*,5961,5801,160,61756,
Jul17,7,2017,Napa,28,2017-18,2017,-451,24,*,26,11,15,27,0,27,27,0,27,1912,0,1912,0,1912,0,0,0,0,0,0,0,0,0,0,0,1912,
Jul17,7,2017,Nevada,29,2017-18,2017,40,68,29,97,35,62,62,0,62,62,0,62,8865,8523,342,0,8865,0,0,0,0,0,0,0,0,0,0,0,8865,
Jul17,7,2017,Orange,30,2017-18,2017,4096,4214,1151,5365,1240,4125,4082,50,4032,4132,100,4032,1197722,1189016,8706,23299,1174423,14,19,19,0,37,13,*,*,53523,46574,6949,1144199,
Jul17,7,2017,Placer,31,2017-18,2017,-5726,321,126,447,120,327,421,*,418,424,*,418,77562,77562,0,1257,76305,*,*,*,0,15,*,*,0,5492,5492,0,72070,
Jul17,7,2017,Plumas,32,2017-18,2017,-52,28,*,32,*,26,28,0,28,28,0,28,5133,3141,1992,0,5133,0,0,0,0,0,0,0,0,315,0,315,4818,
Jul17,7,2017,Riverside,33,2017-18,2017,-362,104,12,116,*,110,110,*,109,111,*,109,21083,0,21083,361,20722,*,*,*,0,0,*,*,0,3370,3315,55,17713,
Jul17,7,2017,Sacramento,34,2017-18,2017,384,3651,1126,4777,1119,3658,4872,24,4848,4896,48,4848,725502,725502,0,6604,718898,0,47,47,0,0,49,49,0,142342,142342,0,583160,
Jul17,7,2017,San Benito,35,2017-18,2017,-4938,80,25,105,24,81,81,0,81,81,0,81,20927,20927,0,0,20927,*,0,0,0,0,0,0,0,246,0,246,20681,
Jul17,7,2017,San Bernardino,36,2017-18,2017,-678,362,26,388,29,359,349,*,347,351,*,347,89402,89402,0,773,88629,24,11,11,0,*,*,*,*,33269,31369,1900,56133,
Jul17,7,2017,San Diego,37,2017-18,2017,2976,3288,785,4073,874,3199,3091,*,3081,3101,20,3081,934092,933889,203,4282,929810,44,33,33,0,86,33,33,0,88462,88462,0,845630,
Jul17,7,2017,San Francisco,38,2017-18,2017,3607,4182,668,4850,688,4162,4885,*,4877,4893,16,4877,1938397,1795051,143346,3773,1934624,46,46,46,0,112,46,46,0,199045,199045,0,1739352,
Jul17,7,2017,San Joaquin,39,2017-18,2017,305,771,220,991,275,716,1031,*,1024,1038,14,1024,143584,6335,137249,1371,142213,*,0,0,*,*,*,*,*,17451,11179,6272,126133,
Jul17,7,2017,San Luis Obispo,40,2017-18,2017,-3736,224,51,275,66,209,273,0,273,273,0,273,77361,77296,65,0,77361,13,*,*,0,18,*,*,0,14029,14029,0,63332,
Jul17,7,2017,San Mateo,41,2017-18,2017,151,372,47,419,84,335,425,0,425,425,0,425,144635,31530,113105,0,144635,0,*,*,0,0,*,*,0,10008,10008,0,134627,
Jul17,7,2017,Santa Barbara,42,2017-18,2017,-36,304,153,457,147,310,457,0,457,457,0,457,54246,31956,22290,0,54246,22,*,*,0,23,*,*,*,11277,11019,258,42969,
Jul17,7,2017,Santa Clara,43,2017-18,2017,2966,2974,704,3678,791,2887,3670,15,3655,3685,30,3655,659446,508194,151252,42807,616639,11,22,22,0,46,22,22,0,43197,43197,0,616249,
Jul17,7,2017,Santa Cruz,44,2017-18,2017,237,269,56,325,91,234,246,*,242,250,*,242,56907,56907,0,1282,55625,56,*,*,0,*,14,11,*,13618,13538,80,43289,
Jul17,7,2017,Shasta,45,2017-18,2017,-463,268,50,318,64,254,295,0,295,295,0,295,87634,87634,0,0,87634,0,*,*,0,*,*,*,*,10668,7168,3500,76966,
Jul17,7,2017,Sierra,46,2017-18,2017,-340,*,0,*,0,*,*,0,*,*,0,*,547,268,279,0,547,0,0,0,0,0,0,0,0,0,0,0,547,
Jul17,7,2017,Siskiyou,47,2017-18,2017,-127,24,*,31,*,27,31,0,31,31,0,31,8107,8107,0,0,8107,0,0,0,0,0,*,*,0,9365,9295,70,-1258,
Jul17,7,2017,Solano,48,2017-18,2017,406,425,217,642,204,438,655,0,655,655,0,655,239394,239394,0,0,239394,13,*,*,0,28,*,*,0,30399,30399,0,208995,
Jul17,7,2017,Sonoma,49,2017-18,2017,188,236,61,297,53,244,297,0,297,297,0,297,40823,25871,14952,0,40823,*,0,0,0,0,0,0,0,17057,17057,0,23766,
Jul17,7,2017,Stanislaus,50,2017-18,2017,137,143,26,169,26,143,192,*,191,194,*,191,109270,109270,0,563,108707,*,*,*,0,*,*,*,0,26499,25292,1207,82771,
Jul17,7,2017,Sutter,51,2017-18,2017,-614,0,*,*,*,0,*,0,*,*,0,*,3797,3797,0,0,3797,*,0,0,0,0,0,0,0,25,0,25,3772,
Jul17,7,2017,Tehama,52,2017-18,2017,18,21,11,32,*,23,32,0,32,32,0,32,6620,6620,0,0,6620,*,0,0,0,0,0,0,0,90,0,90,6530,
Jul17,7,2017,Trinity,53,2017-18,2017,-452,*,*,*,0,*,*,0,*,*,0,*,600,238,362,0,600,*,0,0,0,0,0,0,0,0,0,0,600,
Jul17,7,2017,Tulare,54,2017-18,2017,543,628,45,673,89,584,531,*,527,535,*,527,108068,108068,0,1462,106606,0,*,*,0,20,*,*,0,31713,31713,0,76355,
Jul17,7,2017,Tuolumne,55,2017-18,2017,0,*,0,*,0,*,*,0,*,*,0,*,1410,741,669,0,1410,0,0,0,0,0,0,0,0,125,0,125,1285,
