Accessible data table begins in Cell A5. Item descriptions are contained within input messages in Cell G5 through Cell AI5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"General Relief and Interim Assistance to Applicants for SSI/SSP
Monthly Caseload and Expenditure Report
(GR 237)",,,,,,,PART A.  CASELOAD (GENERAL RELIEF AND INTERIM ASSISTANCE),,,,,,PART B.  CASELOAD AND EXPENDITURES,,,,,,,,,,,PART C.  SSI/SSP INTERIM ASSISTANCE,,,,,,,,,,,PART E. NET GENERAL RELIEF EXPENDITURES,
,,,,,,,Adjustment,"1. Cases
brought
forward","2. Cases 
added
during 
month",3. Total cases available during month,4. Cases discontinued during month,5. Cases carried forward to next month,6. Total cases,a. Family cases,b. One-person cases,6. Total cases,a. Family cases,b. One-person cases,6. Total GR,(1) Amount in cash,(2) Amount in kind,a. Family cases,b. One-person cases,7. Cases added during month,8. Total SSA checks disposed of during month,8a. Disposed within 1-10 working days,9. SSA sent SSI/SSP check directly to recipient,10. Denial notice received,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,,
,,,,,,,,,,,,,"CASES
A",,,"PERSONS
B",,,"AMOUNT
C",,,,,,,,,,"CASES
A",,,"AMOUNT
C",,,"Net General Relief
Expenditure (Column C 
Items 6 - Item 11)",
Date,Month,Year,County Name,County Code,SFY,FFY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,
Jul16,7,2016,Statewide,00,2016-17,2016,5072,100153,23595,123748,24913,98835,120624,966,119658,121655,1997,119658,28706088,27768471,*,433198,28272890,692,886,886,*,1715,921,847,74,2599191,2554885,*,26106897,
Jul16,7,2016,Alameda,01,2016-17,2016,-520,7327,1307,8634,1035,7599,8589,171,8418,8755,337,8418,2978781,2978781,0,91813,2886968,12,55,55,0,174,55,55,0,411082,411082,0,2567699,
Jul16,7,2016,Alpine,02,2016-17,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jul16,7,2016,Amador,03,2016-17,2016,*,*,*,*,*,*,*,0,*,*,0,*,3235,3235,0,0,3235,*,0,0,0,0,0,0,0,25,0,25,3210,
Jul16,7,2016,Butte,04,2016-17,2016,100,483,48,531,59,472,527,0,527,527,0,527,163540,163540,0,0,163540,20,13,13,0,0,15,13,*,44776,42279,2497,118764,
Jul16,7,2016,Calaveras,05,2016-17,2016,-2,31,0,31,*,27,27,0,27,27,0,27,6581,6581,0,0,6581,0,0,0,0,0,0,0,0,157,0,157,6424,
Jul16,7,2016,Colusa,06,2016-17,2016,-3,*,0,*,0,*,*,0,*,*,0,*,762,464,298,0,762,0,0,0,0,0,0,0,0,80,0,80,682,
Jul16,7,2016,Contra Costa,07,2016-17,2016,162,769,256,1025,251,774,1042,*,1041,1043,*,1041,186909,148779,38130,100,186809,*,25,25,0,93,25,25,0,75364,75364,0,111545,
Jul16,7,2016,Del Norte,08,2016-17,2016,*,*,0,*,0,*,*,0,*,*,0,*,1336,0,1336,0,1336,0,0,0,0,0,0,0,0,0,0,0,1336,
Jul16,7,2016,El Dorado,09,2016-17,2016,36,106,21,127,44,83,83,0,83,83,0,83,9666,8864,802,0,9666,0,0,0,0,0,0,0,0,544,0,544,9122,
Jul16,7,2016,Fresno,10,2016-17,2016,-162,2458,609,3067,557,2510,3291,12,3279,3303,24,3279,745150,745150,0,4429,740721,151,34,34,0,96,37,34,*,91295,90730,565,653855,
Jul16,7,2016,Glenn,11,2016-17,2016,0,15,*,20,*,*,20,0,20,20,0,20,5071,5071,0,0,5071,0,0,0,0,*,0,0,0,0,0,0,5071,
Jul16,7,2016,Humboldt,12,2016-17,2016,28,178,45,223,54,169,223,0,223,223,0,223,67465,66825,640,0,67465,*,*,*,0,*,*,*,*,23600,20380,3220,43865,
Jul16,7,2016,Imperial,13,2016-17,2016,-16,43,*,53,11,42,46,0,46,46,0,46,9152,2247,6905,0,9152,0,0,0,0,0,0,0,0,0,0,0,9152,
Jul16,7,2016,Inyo,14,2016-17,2016,-4,20,12,32,*,27,32,0,32,32,0,32,10908,10908,0,0,10908,*,0,0,0,0,0,0,0,0,0,0,10908,
Jul16,7,2016,Kern,15,2016-17,2016,-253,470,92,562,108,454,443,0,443,443,0,443,122937,122937,0,0,122937,92,*,*,0,17,*,*,0,19695,19690,*,103242,
Jul16,7,2016,Kings,16,2016-17,2016,-16,*,*,*,*,*,*,*,*,*,*,*,2109,0,2109,477,1632,0,0,0,0,0,0,0,0,25,0,25,2084,
Jul16,7,2016,Lake,17,2016-17,2016,*,*,*,11,*,*,*,0,*,*,0,*,1362,1362,0,0,1362,0,*,*,0,0,*,*,0,3927,3927,0,-2565,
Jul16,7,2016,Lassen,18,2016-17,2016,-25,40,14,54,17,37,37,0,37,37,0,37,16238,16238,0,0,16238,*,0,0,0,0,*,*,*,4400,2336,2064,11838,
Jul16,7,2016,Los Angeles,19,2016-17,2016,3548,61236,14872,76108,15872,60236,75592,574,75018,76232,1214,75018,16619115,16575887,43228,210215,16408900,88,478,478,0,772,478,478,0,1173964,1173964,0,15445151,
Jul16,7,2016,Madera,20,2016-17,2016,34,180,*,188,*,183,136,*,131,141,*,131,37228,37228,0,3182,34046,0,0,0,0,0,*,*,0,4506,4506,0,32722,
Jul16,7,2016,Marin,21,2016-17,2016,63,627,91,718,111,607,714,0,714,714,0,714,202077,202077,0,0,202077,*,*,*,0,15,*,*,0,14586,13366,1220,187491,
Jul16,7,2016,Mariposa,22,2016-17,2016,0,0,22,22,22,0,22,0,22,22,0,22,4955,4955,0,0,4955,0,0,0,0,0,0,0,0,0,0,0,4955,
