Accessible data table begins in Cell A5. Item descriptions are contained within input messages in Row 5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"General Relief and Interim Assistance to Applicants for SSI/SSP
Monthly Caseload and Expenditure Report
(GR 237)",,,,,,,PART A.  CASELOAD (GENERAL RELIEF AND INTERIM ASSISTANCE),,,,,,PART B.  CASELOAD AND EXPENDITURES,,,,,,,,,,,PART C.  SSI/SSP INTERIM ASSISTANCE,,,,,,,,,,,PART E. NET GENERAL RELIEF EXPENDITURES,
,,,,,,,Adjustment,"1. Cases
brought
forward","2. Cases 
added
during 
month",3. Total cases available during month,4. Cases discontinued during month,5. Cases carried forward to next month,6. Total cases,a. Family cases,b. One-person cases,6. Total cases,a. Family cases,b. One-person cases,6. Total GR,(1) Amount in cash,(2) Amount in kind,a. Family cases,b. One-person cases,7. Cases added during month,8. Total SSA checks disposed of during month,8a. Disposed within 1-10 working days,9. SSA sent SSI/SSP check directly to recipient,10. Denial notice received,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,,
,,,,,,,,,,,,,"CASES
A",,,"PERSONS
B",,,"AMOUNT
C",,,,,,,,,,"CASES
A",,,"AMOUNT
C",,,"Net General Relief
Expenditure",
Date,County Name, ,County Code,SFY,FFY,Report Month,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Cell 16,Cell 17,Cell 18,Cell 19,Cell 20,Cell 21,Cell 22,Cell 23,Cell 24,Cell 25,Cell 26,Cell 27,Cell 28,Cell 29,
Jul21,Statewide,,00,2021-22,2021,Jul 2021,1042,105520,11409,116929,12476,104453,112758,2203,110555,115127,4572,110555,27209022,26906626,302396,578176,26630846,2921,395,393,0,700,413,353,60,1331161,1249605,81556,25877861,
Jul21,Alameda,,01,2021-22,2021,Jul 2021,*,4719,468,5187,548,4639,5188,73,5115,5261,146,5115,1814047,1812199,1848,39413,1774634,0,14,14,0,105,14,14,0,107725,107725,0,1706322,
Jul21,Alpine,,02,2021-22,2021,Jul 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jul21,Amador,,03,2021-22,2021,Jul 2021,0,*,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jul21,Butte,,04,2021-22,2021,Jul 2021,0,160,39,199,48,151,199,0,199,199,0,199,109779,109779,0,0,109779,0,*,*,0,0,*,*,*,38199,25702,12497,71580,
Jul21,Calaveras,,05,2021-22,2021,Jul 2021,0,*,*,*,0,*,*,0,*,*,0,*,676,676,0,0,676,*,0,0,0,0,0,0,0,390,0,390,286,
Jul21,Colusa,,06,2021-22,2021,Jul 2021,0,0,*,*,*,0,130,0,130,130,0,130,130,130,0,0,130,0,0,0,0,0,0,0,0,0,0,0,130,
Jul21,Contra Costa,,07,2021-22,2021,Jul 2021,0,372,80,452,52,400,457,*,*,458,*,*,118234,111578,6656,237,117997,*,*,*,0,38,*,*,0,38690,38690,0,79544,
Jul21,Del Norte,,08,2021-22,2021,Jul 2021,0,*,0,*,0,*,*,0,*,*,0,*,512,512,0,0,512,0,0,0,0,0,0,0,0,0,0,0,512,
Jul21,El Dorado,,09,2021-22,2021,Jul 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul21,Fresno,,10,2021-22,2021,Jul 2021,*,806,93,899,153,746,911,*,*,918,14,904,191675,191675,0,2378,189297,45,15,15,0,39,15,15,0,39771,39771,0,151904,
Jul21,Glenn,,11,2021-22,2021,Jul 2021,0,*,*,33,*,*,29,0,29,29,0,29,10084,9009,1075,0,10084,0,0,0,0,0,0,0,0,931,931,0,9153,
Jul21,Humboldt,,12,2021-22,2021,Jul 2021,0,80,21,101,27,74,101,0,101,101,0,101,18547,18547,0,0,18547,*,*,*,0,0,*,*,*,14392,8353,6039,4155,
Jul21,Imperial,,13,2021-22,2021,Jul 2021,0,-3,*,*,*,-1,42,0,42,42,0,42,8263,1779,6484,0,8263,0,0,0,0,0,0,0,0,0,0,0,8263,
Jul21,Inyo,,14,2021-22,2021,Jul 2021,0,*,*,*,0,*,*,0,*,*,0,*,4424,4424,0,0,4424,0,0,0,0,0,0,0,0,0,0,0,4424,
Jul21,Kern,,15,2021-22,2021,Jul 2021,0,1555,164,1719,176,1543,900,*,*,905,*,*,313751,313751,0,2473,311278,36,14,14,0,*,15,*,*,50060,49956,104,263691,
Jul21,Kings,,16,2021-22,2021,Jul 2021,0,*,*,23,*,*,23,0,23,23,0,23,2330,2330,0,0,2330,0,0,0,0,0,0,0,0,25,0,25,2305,
Jul21,Lake,,17,2021-22,2021,Jul 2021,0,*,*,21,*,*,*,0,*,*,0,*,285,285,0,0,285,0,0,0,0,0,0,0,0,0,0,0,285,
Jul21,Lassen,,18,2021-22,2021,Jul 2021,0,*,*,39,*,*,33,0,33,33,0,33,9519,9519,0,0,9519,*,0,0,0,0,0,0,0,0,0,0,9519,
Jul21,Los Angeles,,19,2021-22,2021,Jul 2021,1124,78259,6482,84741,7764,76977,84688,2008,82680,86881,4201,82680,18298343,18298343,0,468716,17829627,2627,205,203,0,229,205,205,0,497354,497354,0,17800989,
Jul21,Madera,,20,2021-22,2021,Jul 2021,0,*,*,15,*,*,36,0,36,36,0,36,11005,11005,0,0,11005,0,0,0,0,0,0,0,0,0,0,0,11005,
Jul21,Marin,,21,2021-22,2021,Jul 2021,0,869,30,899,34,865,846,0,846,846,0,846,319576,319576,0,0,319576,*,*,*,0,0,*,0,*,270,0,270,319306,
