Accessible data table begins in Cell A5. Item descriptions are contained within input messages in Cell G5 through Cell AI5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"General Relief and Interim Assistance to Applicants for SSI/SSP
Monthly Caseload and Expenditure Report
(GR 237)",,,,,,,PART A.  CASELOAD (GENERAL RELIEF AND INTERIM ASSISTANCE),,,,,,PART B.  CASELOAD AND EXPENDITURES,,,,,,,,,,,PART C.  SSI/SSP INTERIM ASSISTANCE,,,,,,,,,,,PART E. NET GENERAL RELIEF EXPENDITURES,
,,,,,,,Adjustment,"1. Cases
brought
forward","2. Cases 
added
during 
month",3. Total cases available during month,4. Cases discontinued during month,5. Cases carried forward to next month,6. Total cases,a. Family cases,b. One-person cases,6. Total cases,a. Family cases,b. One-person cases,6. Total GR,(1) Amount in cash,(2) Amount in kind,a. Family cases,b. One-person cases,7. Cases added during month,8. Total SSA checks disposed of during month,8a. Disposed within 1-10 working days,9. SSA sent SSI/SSP check directly to recipient,10. Denial notice received,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,,
,,,,,,,,,,,,,"CASES
A",,,"PERSONS
B",,,"AMOUNT
C",,,,,,,,,,"CASES
A",,,"AMOUNT
C",,,"Net General Relief
Expenditure (Column C 
Items 6 - Item 11)",
Date,Month,Year,County Name,County Code,SFY,FFY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,
Jul18,7,2018,Statewide,00,2018-19,2018,2311,101251,24818,126069,26482,99587,129171,2597,126574,131963,5389,126574,29380192,28582139,798053,713563,28666629,5148,797,793,*,1439,852,752,100,2896139,2856718,39421,26484053,
Jul18,7,2018,Alameda,01,2018-19,2018,*,8081,1151,9232,1190,8042,9187,142,9045,9329,284,9045,3145297,3145297,0,76734,3068563,*,65,65,0,198,65,65,0,476378,476378,0,2668919,
Jul18,7,2018,Alpine,02,2018-19,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jul18,7,2018,Amador,03,2018-19,2018,0,*,0,*,*,*,*,0,*,*,0,*,776,776,0,0,776,0,0,0,0,0,0,0,0,0,0,0,776,
Jul18,7,2018,Butte,04,2018-19,2018,0,387,71,458,85,373,461,0,461,461,0,461,156227,156227,0,0,156227,26,*,*,0,0,*,*,*,10643,8352,2291,145584,
Jul18,7,2018,Calaveras,05,2018-19,2018,0,13,*,14,*,11,11,0,11,11,0,11,2618,2618,0,0,2618,0,0,0,0,0,0,0,0,593,0,593,2025,
Jul18,7,2018,Colusa,06,2018-19,2018,0,*,*,*,*,*,*,0,*,*,0,*,1189,891,298,0,1189,0,0,0,0,0,0,0,0,122,0,122,1067,
Jul18,7,2018,Contra Costa,07,2018-19,2018,-2,452,170,622,158,464,626,0,626,626,0,626,115471,98522,16949,0,115471,*,*,*,0,45,*,*,0,22180,22180,0,93291,
Jul18,7,2018,Del Norte,08,2018-19,2018,0,*,*,*,0,*,*,0,*,*,0,*,2059,0,2059,0,2059,0,0,0,0,0,0,0,0,0,0,0,2059,
Jul18,7,2018,El Dorado,09,2018-19,2018,0,46,31,77,55,22,67,0,67,67,0,67,8136,7101,1035,0,8136,0,0,0,0,0,*,0,*,301,0,301,7835,
Jul18,7,2018,Fresno,10,2018-19,2018,23,2497,464,2961,469,2492,3022,*,3012,3032,20,3012,656147,656147,0,3784,652363,146,44,44,0,92,44,44,0,106629,106629,0,549518,
Jul18,7,2018,Glenn,11,2018-19,2018,0,13,*,17,*,11,17,0,17,17,0,17,7584,6584,1000,0,7584,0,0,0,0,0,0,0,0,0,0,0,7584,
Jul18,7,2018,Humboldt,12,2018-19,2018,0,133,67,200,69,131,200,0,200,200,0,200,56074,54544,1530,0,56074,12,0,0,0,*,*,0,*,10800,0,10800,45274,
Jul18,7,2018,Imperial,13,2018-19,2018,0,107,11,118,11,107,94,0,94,94,0,94,17815,4213,13602,0,17815,0,0,0,0,0,0,0,0,0,0,0,17815,
Jul18,7,2018,Inyo,14,2018-19,2018,0,35,*,44,*,38,38,0,38,38,0,38,12089,12089,0,0,12089,0,0,0,0,0,0,0,0,0,0,0,12089,
Jul18,7,2018,Kern,15,2018-19,2018,0,586,227,813,239,574,1205,*,1201,1209,*,1201,327842,327842,0,2108,325734,227,14,14,0,13,15,14,*,33568,33367,201,294274,
Jul18,7,2018,Kings,16,2018-19,2018,0,68,68,136,65,71,136,0,136,136,0,136,147,0,147,0,147,0,0,0,0,0,0,0,0,593,568,25,-446,
Jul18,7,2018,Lake,17,2018-19,2018,0,*,0,*,0,*,*,0,*,*,0,*,741,741,0,0,741,0,0,0,0,0,0,0,0,0,0,0,741,
Jul18,7,2018,Lassen,18,2018-19,2018,0,57,11,68,13,55,55,0,55,55,0,55,16311,16311,0,0,16311,*,0,0,0,*,*,*,*,1833,1369,464,14478,
Jul18,7,2018,Los Angeles,19,2018-19,2018,1987,65090,16444,81534,18192,63342,86993,2300,84693,89485,4792,84693,17602930,17467560,135370,536967,17065963,4380,393,393,0,634,393,393,0,1290216,1290216,0,16312714,
Jul18,7,2018,Madera,20,2018-19,2018,0,88,*,97,15,82,89,*,86,92,*,86,21410,21410,0,723,20687,0,0,0,0,0,0,0,0,0,0,0,21410,
Jul18,7,2018,Marin,21,2018-19,2018,0,538,100,638,95,543,537,0,537,537,0,537,197264,197264,0,0,197264,*,*,*,0,*,*,*,0,3986,3561,425,193278,
Jul18,7,2018,Mariposa,22,2018-19,2018,0,0,23,23,23,0,23,0,23,23,0,23,5837,5837,0,0,5837,0,0,0,0,0,0,0,0,0,0,0,5837,
