Accessible data table begins in Cell A5. Item descriptions are contained within input messages in Row 5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"General Relief and Interim Assistance to Applicants for SSI/SSP
Monthly Caseload and Expenditure Report
(GR 237)",,,,,,,PART A.  CASELOAD (GENERAL RELIEF AND INTERIM ASSISTANCE),,,,,,PART B.  CASELOAD AND EXPENDITURES,,,,,,,,,,,PART C.  SSI/SSP INTERIM ASSISTANCE,,,,,,,,,,,PART E. NET GENERAL RELIEF EXPENDITURES,
,,,,,,,Adjustment,"1. Cases
brought
forward","2. Cases 
added
during 
month",3. Total cases available during month,4. Cases discontinued during month,5. Cases carried forward to next month,6. Total cases,a. Family cases,b. One-person cases,6. Total cases,a. Family cases,b. One-person cases,6. Total GR,(1) Amount in cash,(2) Amount in kind,a. Family cases,b. One-person cases,7. Cases added during month,8. Total SSA checks disposed of during month,8a. Disposed within 1-10 working days,9. SSA sent SSI/SSP check directly to recipient,10. Denial notice received,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,,
,,,,,,,,,,,,,"CASES
A",,,"PERSONS
B",,,"AMOUNT
C",,,,,,,,,,"CASES
A",,,"AMOUNT
C",,,"Net General Relief
Expenditure",
Date,County Name, ,County Code,SFY,FFY,Report Month,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Cell 16,Cell 17,Cell 18,Cell 19,Cell 20,Cell 21,Cell 22,Cell 23,Cell 24,Cell 25,Cell 26,Cell 27,Cell 28,Cell 29,
Jul20,Statewide,,00,2020-21,2020,Jul 2020,*,145175,8699,153874,9961,143913,150614,2851,147763,153708,5945,147763,37450632,36927520,523112,786818,36663814,2783,453,449,*,683,537,452,85,1743784,1681340,62444,35706848,
Jul20,Alameda,,01,2020-21,2020,Jul 2020,-15,7802,399,8201,1395,6806,8215,99,8116,8314,198,8116,2873990,2871549,2441,52181,2821809,*,33,33,0,69,33,33,0,153145,153145,0,2720845,
Jul20,Alpine,,02,2020-21,2020,Jul 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jul20,Amador,,03,2020-21,2020,Jul 2020,0,*,*,*,*,*,*,0,*,*,0,*,958,958,0,0,958,0,0,0,0,0,0,0,0,0,0,0,958,
Jul20,Butte,,04,2020-21,2020,Jul 2020,0,475,62,537,177,360,538,0,538,538,0,538,273712,273712,0,0,273712,*,*,*,0,0,*,*,*,32662,28559,4103,241050,
Jul20,Calaveras,,05,2020-21,2020,Jul 2020,0,*,*,*,0,*,*,0,*,*,0,*,4073,1575,2498,0,4073,*,0,0,0,0,0,0,0,355,0,355,3718,
Jul20,Colusa,,06,2020-21,2020,Jul 2020,0,*,*,29,*,*,*,0,*,*,0,*,520,520,0,0,520,0,0,0,0,0,0,0,0,0,0,0,520,
Jul20,Contra Costa,,07,2020-21,2020,Jul 2020,-7,532,40,572,101,471,579,0,579,579,0,579,131386,122836,8550,0,131386,0,*,*,0,27,*,*,0,10235,10235,0,121151,
Jul20,Del Norte,,08,2020-21,2020,Jul 2020,0,39,0,39,16,23,23,0,23,23,0,23,6158,6158,0,0,6158,0,0,0,0,0,0,0,0,0,0,0,6158,
Jul20,El Dorado,,09,2020-21,2020,Jul 2020,0,34,29,63,48,15,70,0,70,70,0,70,13632,11262,2370,0,13632,0,0,0,0,0,12,*,*,4760,4060,700,8872,
Jul20,Fresno,,10,2020-21,2020,Jul 2020,-78,2195,247,2442,750,1692,2474,*,*,2484,20,2464,525574,525574,0,3488,522086,110,21,21,0,28,21,21,0,61723,61723,0,463851,
Jul20,Glenn,,11,2020-21,2020,Jul 2020,0,*,*,34,*,*,27,0,27,27,0,27,7514,7514,0,0,7514,0,0,0,0,0,0,0,0,0,0,0,7514,
Jul20,Humboldt,,12,2020-21,2020,Jul 2020,0,145,35,180,76,104,180,0,180,180,0,180,35481,34766,715,0,35481,*,*,*,0,*,*,0,*,24711,7356,17355,10770,
Jul20,Imperial,,13,2020-21,2020,Jul 2020,0,*,*,44,12,32,75,0,75,75,0,75,15214,3645,11569,0,15214,0,0,0,0,0,0,0,0,0,0,0,15214,
Jul20,Inyo,,14,2020-21,2020,Jul 2020,0,27,0,27,*,*,27,0,27,27,0,27,12478,12478,0,0,12478,0,0,0,0,0,0,0,0,0,0,0,12478,
Jul20,Kern,,15,2020-21,2020,Jul 2020,0,1719,201,1920,208,1712,1292,*,*,1298,12,1286,484841,484841,0,3186,481655,62,12,12,0,*,13,*,*,50684,50103,581,434157,
Jul20,Kings,,16,2020-21,2020,Jul 2020,0,*,*,38,*,*,38,0,38,38,0,38,5660,0,5660,0,5660,0,0,0,0,0,0,0,0,25,0,25,5635,
Jul20,Lake,,17,2020-21,2020,Jul 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jul20,Lassen,,18,2020-21,2020,Jul 2020,0,70,13,83,39,44,44,0,44,44,0,44,12888,12888,0,0,12888,*,0,0,0,0,*,*,0,876,876,0,12012,
Jul20,Los Angeles,,19,2020-21,2020,Jul 2020,1297,104606,2568,107174,722,106452,107647,2587,105060,110474,5414,105060,23310655,23310655,0,625290,22685365,2258,206,206,0,340,206,206,0,572474,572474,0,22738181,
Jul20,Madera,,20,2020-21,2020,Jul 2020,0,72,0,72,*,*,64,*,*,65,*,*,14294,14294,0,122,14172,0,0,0,0,0,*,*,0,2260,2260,0,12034,
